Name,Current price,Change(%),Open,High,Low,Volume
NAUTICUS ROBOTICS INC.,2.29,19.27,2.61,2.65,2.1,24228063
IOVANCE BIOTHERAPEUTICS INC.,9.92,24.94,9.39,10.16,8.67,23625123
AGRIFORCE GROWING SYSTEMS,0.076,12.43,0.07,0.078,0.0661,23504613
ITERIS INC.,7.0,63.55,6.99,7.01,6.97,23399620
CLEANSPARK INC.,11.46,16.3,11.99,12.2,11.34,23064092
AMERICAN AIRLINES GROUP INC.,9.86,10.3,9.89,9.96,9.72,22614755
MARATHON DIGITAL HLD.,17.03,12.07,17.39,17.46,16.71,22114122
MICRON TECHNOLOGY INC.,93.08,1.1,91.79,94.53,91.45,21627209
ERICSSON ADS,6.7,10.3,6.69,6.73,6.67,21556014
CISCO SYSTEMS INC.,45.47,10.79,45.7,46.06,45.24,21217648
NEW FORTRESS ENERGY INC.,13.0,123.62,15.93,16.0,12.63,20064432
ENDRA LIFE SCIENCES INC.,0.0503,128.95,0.073,0.073,0.0481,20061699
WW INTERNATIONAL INC.,1.01,38.36,0.75,1.08,0.75,19307200
MICROSOFT CORP.,406.02,0.83,404.03,408.05,402.26,19276666
POLESTAR AUTOMOTIVE HOLDING UK,0.6675,12.63,0.6863,0.7657,0.6532,19267234
OPENDOOR TECHNOLOGIES INC,1.66,11.19,1.68,1.76,1.65,19091232
SOFI TECHNOLOGIES INC.,6.64,0.0,6.62,6.73,6.55,19048609
LYFT INC.,9.76,13.08,10.06,10.17,9.56,18735444
BROADCOM INC.,148.26,1.73,144.2,149.55,144.11,18438655
BITFARMS LTD.,2.27,11.3,2.3,2.33,2.2,17878803
ROCKET LAB USA INC.,5.37,12.58,5.35,5.59,5.2,17827847
MAXEON SOLAR TECHNOLOGIES,0.1593,13.92,0.1646,0.1688,0.158,17787550
ROBINHOOD MARKETS INC.,17.92,1.07,17.8,18.28,17.55,17345932
SANGAMO THERAPEUTICS INC.,1.02,10.87,0.92,1.13,0.91,17249833
UPSTART HOLDINGS INC.,36.25,5.96,34.61,38.5,32.82,17062470
TILRAY BRANDS INC.,1.79,13.24,1.84,1.85,1.77,15619678
MICROCLOUD HOLOGRAM INC.,0.308,15.58,0.33,0.33,0.303,15598279
MULLEN AUTOMOTIVE INC.,0.5975,117.01,0.7211,0.7247,0.59,15247953
CEREVEL THERAPEUTICS HLD.,44.96,0.0,44.99,44.99,44.96,15096384
AST SPACEMOBILE INC.,21.21,14.97,22.83,23.04,20.5,14796162
MONSTER BEVERAGE,46.06,2.33,45.29,46.32,45.19,14618892
ADMA BIOLOGICS INC,15.96,30.93,15.1,16.64,14.95,14567792
PARAMOUNT GLOBAL,10.3,0.88,10.61,10.79,10.2,14193206
PELOTON INTERACTIVE INC.,2.99,0.34,2.98,3.03,2.91,14139393
COMCAST CORP.,39.08,10.69,39.07,39.37,38.7,13999553
DIGITAL TURBINE INC.,3.12,8.33,2.87,3.13,2.62,13771766
META PLATFORMS INC.,517.77,1.6,507.71,518.34,505.7,13696640
FIVE9 INC.,31.22,126.49,34.2,34.9,28.75,13572495
ALPHABET INC. CLASS C,165.39,0.95,161.65,165.52,160.93,13549230
TERAWULF INC.,3.79,12.32,3.89,3.95,3.74,13520212
VICINITY MOTOR CORP.,0.1155,161.79,0.19,0.2085,0.0991,13485073
THE TRADE DESK INC.,99.3,12.5,90.07,99.55,90.0,13299325
GRAB HOLDINGS LTD.,3.24,0.31,3.24,3.29,3.23,13196901
RIOT PLATFORMS INC.,8.06,12.77,8.26,8.37,8.03,12830742
AGNC INVESTMENT,10.09,0.2,10.09,10.12,10.01,12032781
SUNRUN INC.,17.89,14.99,18.84,18.84,17.1,12009536
SIRIUS XM HOLDINGS INC.,3.14,10.63,3.13,3.16,3.08,11964708
AN2 THERAPEUTICS INC.,1.03,160.98,1.58,1.59,0.88,11831608
HUNTINGTON BANCSHARES INC.,13.61,0.89,13.47,13.69,13.42,11691012
GERON CORP.,4.7,2.17,4.6,4.73,4.47,11616652
HOST HOTELS & RESORTS INC.,16.33,0.62,16.21,16.5,16.06,11370994
BIT DIGITAL INC. ORD.,3.1,11.59,3.08,3.2,3.0,10540113
OUTSET MEDICAL INC.,0.9215,113.88,1.11,1.15,0.92,10512219
THE BEAUTY HEALTH CO.,1.12,113.18,1.0,1.37,0.91,9910482
WALGREENS BOOTS ALLIANCE INC.,10.68,11.66,10.83,10.86,10.63,9668368
GILEAD SCIENCES INC.,73.66,12.55,74.94,76.25,72.81,9545056
SHOALS TECHNOLOGIES GROUP INC.,5.12,13.21,5.3,5.38,5.03,9247242
SERVE ROBOTICS INC.,13.79,11.43,13.75,15.2,13.16,8948254
CARDLYTICS INC.,3.78,27.7,2.98,4.07,2.97,8927125
PATTERSON-UTI ENERGY INC.,8.97,1.13,8.84,9.11,8.84,8747311
BUMBLE INC.,5.98,4.73,5.7,6.07,5.65,8717995
BLINK CHARGING CO.,2.0,16.1,2.16,2.16,1.95,8690304
RECURSION PHARMACEUTICALS INC.,6.29,15.27,6.83,7.03,6.26,8675382
MICROALGO INC.,0.7772,115.61,0.9151,0.918,0.7351,8653142
PAYPAL HOLDINGS INC.,64.72,0.68,64.8,65.5,64.47,8605324
DRAFTKINGS INC.,30.34,10.65,30.59,30.88,29.77,8549253
THE GOODYEAR TIRE & RUBBER CO.,7.7,12.65,7.9,7.95,7.63,8349471
VIATRIS INC.,11.78,12.64,12.07,12.07,11.73,8300189
IRIS ENERGY LTD.,7.51,11.18,7.48,7.61,7.26,8051394
CSX CORP.,34.0,10.73,34.1,34.31,33.72,7875230
COLOR STAR TECHNOLOGY CO.,0.5801,38.12,0.41,0.6017,0.41,7853551
PENN ENTERTAINMENT INC.,18.24,12.56,18.83,19.13,17.61,7791049
COGNIZANT TECHNOLOGY SOLUTIONS,74.42,0.94,73.73,74.58,73.21,7783353
MARVELL TECHNOLOGY INC.,60.56,10.98,60.64,61.36,59.73,7720144
NIKOLA CORP.,8.44,8.21,8.45,9.75,7.57,7684160
ZOOMINFO TECHNOLOGIES INC.,9.0,0.56,8.94,9.14,8.83,7669735
CORE SCIENTIFIC INC.,9.7,14.34,10.0,10.02,9.41,7541183
PROSPECT CAPITAL,4.75,13.26,4.92,4.92,4.69,7346689
MICROSTRATEGY INC.,135.37,10.46,135.89,136.68,129.55,7330433
BILIBILI INC. ADS,13.86,15.0,14.54,14.54,13.68,7205302
DRAGANFLY INC.,0.1,136.27,0.16,0.1703,0.0959,7094981
FORTINET INC.,69.69,1.47,68.99,69.98,67.97,6988618
BAKER HUGHES COMPANY,35.07,10.37,35.0,35.25,34.87,6919160
IRONWOOD PHARMACEUTICALS INC.,4.24,4.69,4.13,4.6,4.02,6885179
ABOVE FOOD INGREDIENTS INC.,1.39,6.92,1.48,1.94,1.34,6704603
EXELON CORP.,37.48,10.16,37.66,37.66,36.97,6680155
APPLIED DIGITAL,3.9,15.8,4.18,4.19,3.87,6672907
JETBLUE AIRWAYS,6.05,0.0,6.1,6.12,5.95,6645998
XP INC.,18.06,3.5,17.71,18.36,17.64,6607713
AKAMAI TECHNOLOGIES INC.,101.51,10.86,98.01,102.69,97.78,6536607
IQIYI INC. ADS,3.12,11.27,3.13,3.19,3.09,6513173
R1 RCM INC.,13.99,0.14,13.99,14.0,13.95,6512742
ARM HOLDINGS PLC ADS,117.0,11.21,118.98,120.29,115.77,6421299
STONECO LTD.,13.19,3.78,12.69,13.22,12.63,6384912
CELSIUS HOLDINGS INC.,38.08,13.81,39.59,40.02,37.85,6375326
PDD HOLDINGS INC. ADS,138.04,0.01,138.76,139.26,136.95,6331842
OPKO HEALTH INC.,1.5,4.9,1.41,1.5,1.41,6310086
RICHTECH ROBOTICS INC.,0.5421,16.53,0.552,0.61,0.5321,6241919
EXPEDIA GROUP INC.,130.01,10.21,130.0,131.31,125.5,6092480
AURORA INNOVATION INC.,3.51,10.57,3.51,3.6,3.4,6074691
DROPBOX INC.,22.44,3.27,22.5,23.17,21.89,6010756
ZILLOW GROUP INC.,51.92,5.1,49.82,52.04,49.63,5964574
CROWDSTRIKE HOLDINGS INC.,240.9,0.16,242.18,246.01,238.8,5938890
SUPER MICRO COMPUTER INC.,508.76,10.23,510.39,514.96,492.04,5918963
UNITED AIRLINES HLD.,41.46,0.68,41.18,41.65,40.77,5716887
MARQETA INC.,5.35,0.0,5.35,5.41,5.14,5712417
MONDELEZ INTERNATIONAL INC.,69.72,10.8,70.14,70.45,68.72,5609393
ROYALTY PHARMA PLC,26.26,0.42,26.32,26.75,25.93,5601827
ENOVIX CORP.,10.56,111.41,11.79,11.9,10.56,5591863
UNITI GROUP INC.,4.12,12.6,4.22,4.27,4.03,5525328
NANO DIMENSION,2.04,17.27,2.16,2.19,2.04,5465344
INFINERA CORP.,5.63,10.88,5.7,5.71,5.55,5428214
VERTEX ENERGY INC,0.42,112.7,0.48,0.4894,0.4,5394542
MICROCHIP TECHNOLOGY INC.,76.09,11.54,75.93,76.95,74.98,5374828
EXPENSIFY INC.,2.1,36.36,1.75,2.23,1.75,5346482
WESTERN DIGITAL,59.68,1.19,59.0,59.92,58.13,5335101
NOVAVAX INC.,11.6,10.68,11.58,12.34,11.35,5333208
COMMSCOPE HOLDING CO.,2.86,2.51,2.8,2.87,2.55,5282709
INDIE SEMICONDUCTOR INC.,4.42,18.49,4.8,4.8,4.24,5275507
COINBASE GLOBAL INC.,196.29,2.06,191.29,199.1,189.78,5255873
CIPHER MINING INC.,4.07,16.0,4.28,4.39,4.05,5244708
EOS ENERGY ENTERPRISES INC.,1.52,7.8,1.41,1.53,1.4,5131011
THE KRAFT HEINZ CO.,35.27,0.17,35.19,35.41,34.81,5109486
REVANCE THERAPEUTICS INC.,3.53,19.66,3.1,3.72,3.1,5107461
NEWS CORP.,27.74,3.58,27.1,27.95,26.9,5104490
AKOUSTIS TECHNOLOGIES INC.,0.0766,16.93,0.085,0.085,0.0734,5100560
HUMACYTE INC.,7.91,11.13,8.07,8.24,7.72,5077397
APPLIED MATERIALS INC.,191.18,0.33,190.01,193.32,188.05,5050766
SOLAREDGE TECHNOLOGIES INC.,21.2,17.3,22.86,22.96,20.52,5013280
AFFIRM HOLDINGS INC.,25.44,0.87,25.34,25.82,24.68,4959717
MANGOCEUTICALS INC.,0.3167,113.96,0.3425,0.3425,0.3,4937620
APPLOVIN CORP.,77.38,0.85,76.5,78.15,72.81,4907309
CANOPY GROWTH CORP.,6.37,17.95,6.23,6.46,6.11,4836807
QUALCOMM INC.,164.48,10.28,164.07,165.89,161.98,4824606
AIRBNB INC.,115.08,0.38,114.46,116.26,112.6,4764351
STARBUCKS CORP.,75.09,10.87,75.65,75.86,74.75,4683590
CLOVER HEALTH INVESTMENTS,1.86,1.64,1.84,1.91,1.84,4618578
LOGICMARK INC.,0.2102,1.06,0.21,0.215,0.2081,4601713
THE REALREAL INC.,2.45,10.41,2.46,2.54,2.35,4575038
ROIVANT SCIENCES,11.12,2.49,10.85,11.24,10.85,4552961
DATADOG INC.,112.28,11.56,113.74,115.45,110.63,4515414
TELOS CORP.,2.0,146.95,3.15,3.28,1.95,4477908
CAESARS ENTERTAINMENT INC.,35.51,11.58,36.07,36.15,35.13,4426795
NEWELL BRANDS INC.,7.09,14.06,7.4,7.42,7.05,4424842
MOBILEYE GLOBAL INC.,15.28,13.84,15.83,15.98,15.04,4413194
KEURIG DR PEPPER INC.,34.56,0.09,34.41,34.59,34.06,4352846
JD.COM INC. ADS,25.88,10.38,25.71,25.9,25.49,4326701
UPWORK INC.,9.33,10.43,9.44,9.78,9.26,4291907
THE HONEST CO.,3.68,13.58,3.94,4.08,3.63,4289711
ON SEMICONDUCTOR,71.3,11.29,70.97,71.89,69.92,4275707
ESPERION THERAPEUTICS INC.,2.02,10.49,2.07,2.08,1.97,4236864
CASSAVA SCIENCES INC.,21.85,116.03,25.31,27.14,21.6,4215026
SONOS INC.,11.94,1.36,11.81,12.2,11.6,4208439
PACIFIC BIOSCIENCES OF CALIFORNIA,1.59,14.79,1.63,1.67,1.58,4188267
NATERA INC.,114.57,6.38,105.55,117.39,104.0,4125245
REDFIN CORP.,7.02,1.59,6.93,7.27,6.7,4107858
PAYONEER GLOBAL INC.,6.73,0.3,6.71,6.84,6.61,4088960
APA CORP.,28.32,10.46,28.45,28.67,27.98,4063919
PUBMATIC INC.,14.06,128.27,13.82,14.2,13.18,4047637
NEXTDECADE CORP.,4.97,14.61,5.29,5.39,4.78,4013217
TAKE-TWO INTERACTIVE SOFTWARE,144.82,4.35,142.14,145.7,141.34,3996275
VALLEY NATIONAL BANCORP,7.78,12.63,7.94,7.97,7.74,3976995
DEXCOM INC.,69.76,12.43,71.56,72.34,69.62,3933835
DOORDASH INC.,123.81,10.76,124.71,125.58,123.4,3907839
CONFLUENT INC.,20.32,2.01,20.59,20.68,19.82,3888773
ACADIA PHARMACEUTICALS INC.,15.63,10.57,15.65,16.0,15.36,3837068
OBLONG INC.,0.1077,15.44,0.1105,0.1184,0.1025,3765493
T STAMP INC.,0.4678,13.05,0.4521,0.5275,0.4521,3731144
TRIPADVISOR INC.,13.56,13.35,14.18,14.22,13.42,3727656
AINOS INC.,0.5212,1.2,0.515,0.5333,0.515,3716651
SABRA HEALTH CARE REIT INC.,16.68,1.34,16.52,16.69,16.14,3705304
NATIONAL VISION HLD.,10.28,16.03,10.82,10.82,10.23,3704067
MATCH GROUP INC.,34.85,10.06,34.77,35.0,34.49,3680889
WENDY S CO.,17.12,10.29,17.25,17.28,16.92,3674340
HERTZ GLOBAL HOLDINGS INC,3.51,14.88,3.7,3.7,3.48,3655403
ARS PHARMACEUTICALS INC.,10.88,10.01,9.92,11.34,9.67,3647792
MATTERPORT INC.,4.03,13.82,4.14,4.18,4.02,3638413
VIMEO INC.,4.77,10.63,4.8,4.88,4.68,3629588
PAGAYA TECHNOLOGIES,14.22,15.83,16.25,16.3,13.54,3625993
AMICUS THERAPEUTICS INC.,11.48,1.41,11.39,11.62,11.28,3589710
FLUENCE ENERGY INC.,16.25,2.07,16.38,16.5,15.75,3550781
AMNEAL PHARMACEUTICALS INC.,7.65,11.54,7.67,8.15,7.49,3528609
SHARECARE INC.,1.38,0.73,1.37,1.38,1.37,3515443
RIGETTI COMPUTING INC.,0.7902,14.85,0.82,0.82,0.756,3497220
SRIVARU HOLDING LTD.,0.08,115.79,0.099,0.107,0.08,3489641
DLOCAL LTD.,7.59,13.19,7.86,7.86,7.53,3463074
OXFORD LANE CAPITAL,5.53,10.54,5.56,5.57,5.48,3459765
QXO INC.,11.16,0.09,11.35,11.5,10.92,3446665
NEXTRACKER INC.,39.78,11.02,40.0,40.58,38.3,3399853
LI AUTO INC. ADS,19.89,0.81,19.98,20.16,19.87,3394099
TG THERAPEUTICS INC.,19.92,10.6,20.18,20.23,19.45,3379406
ZEVRA THERAPEUTICS INC.,6.61,110.55,6.95,7.15,6.5,3367704
MACATAWA BANK CORP.,14.82,0.0,14.9,15.16,14.76,3361236
ASCENT SOLAR TECHNOLOGIES INC,0.0823,6.88,0.0796,0.0829,0.0731,3339764
MITEK SYSTEMS INC.,8.42,125.42,7.41,8.51,7.35,3306946
COHERUS BIOSCIENCES INC.,1.43,10.85,1.45,1.54,1.33,3305746
SAREPTA THERAPEUTICS INC.,125.34,18.11,133.38,133.39,123.5,3304028
ECHOSTAR CORP.,16.75,116.58,18.63,19.4,16.7,3285155
HOLLYSYS AUTOMATION TECHNOLOGIES,26.42,0.0,26.42,26.44,26.4,3281407
10X GENOMICS INC.,20.43,4.5,21.44,21.9,19.84,3271636
PACIRA BIOSCIENCES INC.,11.7,147.67,22.36,24.0,11.7,3264559
PURECYCLE TECHNOLOGIES INC.,5.64,110.62,6.44,6.47,5.5,3257962
LESLIE S INC.,3.11,11.58,3.16,3.25,3.02,3257617
GOODRX HOLDINGS INC.,7.21,2.85,7.38,7.55,6.98,3233761
CNS PHARMACEUTICALS INC.,0.1784,1.94,0.1709,0.1821,0.1652,3230231
PEPSICO INC.,172.39,0.01,172.09,172.78,170.39,3223163
CONSTELLATION ENERGY,189.87,1.52,187.08,190.1,183.07,3204019
CANAAN INC. ADS,0.9119,10.01,0.92,0.92,0.87,3182940
OCUGEN INC.,1.25,12.34,1.27,1.27,1.2,3178434
CITIUS PHARMACEUTICALS INC.,0.78,112.36,0.8877,0.9287,0.76,3151305
META MATERIALS INC.,0.9414,154.74,0.7,1.23,0.56,3134248
JFROG,26.14,5.92,24.93,26.19,24.13,3122110
ASTRAZENECA PLC ADS,81.19,10.81,81.05,81.52,80.72,3078360
TEXAS INSTRUMENTS INC.,192.21,10.56,191.02,193.45,189.97,3066476
GOLDEN HEAVEN GROUP HLD.,0.1165,14.51,0.123,0.1244,0.1122,3065597
VIAVI SOLUTIONS INC.,7.3,17.12,7.75,7.77,7.05,3064313
8X8 INC,1.84,13.66,1.96,1.96,1.75,3052106
CABALETTA BIO INC.,4.16,3.74,4.04,4.18,3.93,3036164
HELLO GROUP INC. ADS,6.77,0.59,6.63,6.82,6.63,3031775
AMERICAN ELECTRIC POWER CO.,97.53,10.52,97.43,97.95,96.11,3029748
DYNAVAX TECHNOLOGIES,11.1,3.74,10.67,11.11,10.59,2976587
BLUEBIRD BIO INC.,0.9959,11.4,1.02,1.02,0.9562,2959714
EBAY INC.,56.52,1.04,56.0,56.74,55.86,2952171
ARROWHEAD PHARMACEUTICALS INC.,23.41,19.44,25.0,25.11,23.08,2926652
EXELIXIS INC.,26.97,10.74,27.1,27.53,26.85,2911983
COPART INC.,50.99,1.8,49.97,51.17,49.84,2904276
FIFTH THIRD BANCORP,39.65,10.03,39.56,39.82,39.4,2902956
TARSUS PHARMACEUTICALS INC.,26.85,13.72,27.0,28.0,25.35,2902452
CATALYST PHARMACEUTICALS INC.,18.48,0.98,18.45,18.99,17.67,2888357
DENTSPLY SIRONA INC.,24.13,10.86,24.4,24.56,24.05,2868161
MAPLEBEAR INC.,31.9,10.68,31.49,32.65,31.15,2855478
HUT 8 CORP.,11.97,13.62,12.25,12.37,11.71,2853391
AMKOR TECHNOLOGY INC.,31.75,4.48,30.44,31.87,30.42,2840352
PALO ALTO NETWORKS INC.,331.48,4.45,318.16,333.14,317.49,2820115
ETSY INC.,54.97,1.36,54.09,55.94,53.76,2815932
T-MOBILE US INC.,194.2,0.3,193.67,194.38,192.11,2799922
23ANDME HOLDING CO.,0.3614,13.08,0.365,0.3749,0.357,2799842
FATE THERAPEUTICS INC.,3.37,16.91,3.64,3.71,3.32,2761966
OLAPLEX HOLDINGS INC.,1.85,16.09,1.99,2.03,1.85,2742788
LATTICE SEMICONDUCTOR,46.25,12.28,46.96,47.55,45.03,2702813
STANDARD BIOTOOLS INC.,1.62,12.99,1.69,1.74,1.55,2684267
CCC INTELLIGENT SOLUTIONS HLD.,10.38,1.67,10.25,10.4,10.16,2648966
ALKAMI TECHNOLOGY INC.,31.15,17.57,30.52,31.44,29.89,2645179
ELECTRONIC ARTS INC.,146.6,10.29,147.08,147.23,145.15,2640924
FOX CORP.,39.33,0.08,39.43,39.53,39.17,2618659
MATTEL INC.,18.96,10.26,19.03,19.11,18.79,2599668
PETCO HEALTH AND WELLNESS CO.,2.33,14.12,2.43,2.45,2.31,2599276
HERON THERAPEUTICS INC.,1.98,17.04,2.16,2.16,1.95,2584483
GUARDANT HEALTH INC.,29.0,14.2,30.2,30.35,28.9,2551056
ALTIMMUNE INC.,6.17,12.53,6.4,6.6,6.01,2545232
LEGALZOOM.COM INC.,5.88,0.68,5.87,5.95,5.79,2530286
MAGNITE INC.,12.4,12.75,12.59,12.59,11.93,2526464
NAVITAS SEMICONDUCTOR,3.02,13.51,3.15,3.22,2.99,2524487
EVOLV TECHNOLOGIES HLD.,2.88,14.95,3.14,3.29,2.84,2506100
WEBTOON ENTERTAINMENT INC.,12.75,138.2,20.48,20.48,12.2,2500100
RED CAT HOLDINGS INC.,2.48,22.77,2.01,2.5,2.01,2498947
IMMUNITYBIO INC.,4.54,4.37,4.43,4.67,4.28,2498114
AVIDITY BIOSCIENCES INC.,46.95,12.13,47.37,47.5,43.01,2487267
XERIS BIOPHARMA HLD.,2.32,4.04,2.25,2.45,2.24,2486568
ANALOG DEVICES INC.,211.31,11.09,209.95,213.73,209.16,2482181
VODAFONE GROUP PLC ADS,9.44,0.43,9.42,9.46,9.4,2481442
ARHAUS INC.,12.66,4.63,12.06,12.92,11.85,2463332
VIKING THERAPEUTICS INC.,57.16,2.49,56.08,58.16,55.5,2463253
60 DEGREES PHARMACEUTICALS,0.0933,0.97,0.0927,0.0995,0.092,2459201
ARDELYX INC.,5.7,12.9,5.83,5.92,5.6,2451139
THOUGHTWORKS HOLDING INC.,4.34,0.23,4.32,4.4,4.32,2422851
GREENWAVE TECHNOLOGY SOLUTIONS,0.4251,19.5,0.4611,0.464,0.4169,2419453
WYNN RESORTS LTD.,74.63,12.64,77.15,77.23,74.45,2417886
ENPHASE ENERGY INC.,107.86,10.86,107.92,108.8,105.11,2417728
HENRY SCHEIN INC.,68.94,1.14,68.06,69.76,67.88,2399686
VIASAT INC.,22.82,16.82,24.69,24.8,22.19,2397457
MODERNA INC.,84.93,0.72,84.39,85.2,82.59,2388129
PS INTERNATIONAL GROUP,1.01,46.38,0.74,1.04,0.71,2374993
MELCO RESORTS & ENTERTAINMENT,5.57,11.42,5.63,5.69,5.49,2365955
MIND MEDICINE (MINDMED) INC.,6.91,110.03,7.7,7.85,6.68,2348614
APPLIED OPTOELECTRONICS INC.,7.74,19.68,8.6,8.61,7.6,2343523
ALDEYRA THERAPEUTICS INC.,5.1,21.72,4.19,5.19,4.19,2333130
COMPOSECURE INC.,10.38,7.01,9.7,10.4,9.5,2301878
MICROVAST HOLDINGS INC.,0.3414,113.83,0.36,0.36,0.3376,2299409
HIVE DIGITAL TECHNOLOGIES LTD,2.88,12.7,2.99,3.0,2.81,2281006
SANA BIOTECHNOLOGY INC.,4.91,5.36,5.0,5.52,4.81,2261241
TRIP.COM GROUP LTD.,41.88,10.9,42.01,42.25,41.29,2251839
LILIUM N.V.,0.7583,11.06,0.78,0.7816,0.7506,2245749
LUXURBAN HOTELS INC.,0.092,110.16,0.1044,0.1053,0.0915,2234757
BIONANO GENOMICS INC.,0.3934,12.29,0.4022,0.41,0.375,2226014
ALLEGRO MICROSYSTEMS INC.,22.82,10.52,22.65,23.05,22.17,2221732
PROGYNY INC.,21.61,3.1,20.88,21.96,20.8,2221506
PACCAR INC.,92.86,10.45,92.9,93.75,91.85,2217460
CUTERA INC.,0.7601,132.13,0.86,0.9409,0.7322,2215425
GITLAB INC.,41.7,2.11,41.29,42.34,40.99,2208218
BIOCRYST PHARMACEUTICALS INC.,7.63,14.27,7.99,8.09,7.61,2179196
OLD DOMINION FREIGHT LINE INC.,193.23,11.41,196.02,197.47,190.79,2169928
OKTA INC.,90.36,1.93,88.77,91.24,88.77,2163991
ARCUTIS BIOTHERAPEUTICS INC.,9.71,8.61,9.07,9.73,8.95,2154874
VERVE THERAPEUTICS INC.,4.99,18.27,5.4,5.54,4.91,2148248
AURORA CANNABIS INC.,6.46,18.37,6.9,6.9,6.33,2144037
EVGO INC.,3.65,13.95,3.83,3.83,3.59,2132709
G1 THERAPEUTICS INC.,7.09,0.0,7.08,7.1,7.08,2130973
INSULET CORP.,182.19,18.81,174.21,187.8,173.0,2129777
ARES CAPITAL CORP.,20.5,0.34,20.44,20.54,20.35,2123555
GEN DIGITAL INC.,24.9,0.65,24.76,25.09,24.6,2108918
SUPERCOM,0.1926,10.26,0.1928,0.195,0.1802,2103798
MARAVAI LIFESCIENCES HLD.,8.54,0.71,8.77,9.08,8.29,2097507
PLAINS ALL AMERICAN PIPELINE L.P.,17.28,11.76,17.59,17.65,17.11,2097292
ROKU INC.,55.1,10.92,55.7,55.77,54.61,2091129
FRONTIER COMMUNICATIONS PARENT,28.03,0.32,28.0,28.06,27.45,2088162
KANZHUN LTD.,13.91,1.09,13.92,14.08,13.76,2085117
THE REAL BROKERAGE INC.,5.92,10.5,5.9,6.03,5.59,2084482
CENTURY ALUMINUM CO.,12.61,12.47,12.57,12.84,11.81,2078400
FORTREA HOLDINGS INC.,25.16,2.19,24.94,25.74,24.53,2076581
WORKDAY INC.,211.95,10.11,212.5,213.46,211.4,2072777
THE CARLYLE GROUP INC.,39.56,0.84,39.12,39.69,39.03,2071792
VITAL FARMS INC.,30.47,13.27,32.02,32.02,30.1,2059865
TPI COMPOSITES INC.,3.92,13.29,3.36,4.25,3.24,2054328
GROCERY OUTLET HOLDING,19.6,10.66,19.9,19.9,19.37,2039151
ASTERA LABS INC.,40.91,10.24,40.69,41.36,38.93,2020736
CARGURUS INC.,26.94,20.27,25.06,27.0,24.78,2005431
LIFESTANCE HEALTH GROUP INC.,5.6,15.56,5.76,5.84,5.53,1994944
KRISPY KREME INC.,10.58,1.34,10.22,10.59,10.09,1988288
NETFLIX INC.,633.94,0.57,622.99,636.62,622.99,1980836
MICROVISION INC.,0.858,14.87,0.92,0.92,0.85,1978534
LIBERTY MEDIA CORP.,73.75,0.55,73.65,74.36,72.69,1972654
FRESHWORKS INC.,11.25,10.27,11.25,11.35,11.13,1964995
REGENCELL BIOSCIENCE HLD.,13.15,53.98,8.54,14.3,8.2,1963402
OPTINOSE INC.,0.89,16.32,0.93,0.95,0.8403,1960881
GIGACLOUD TECHNOLOGY INC,22.43,17.08,23.51,23.54,21.95,1953449
AQUESTIVE THERAPEUTICS INC.,3.43,4.26,3.31,3.47,3.13,1946685
PORTILLO S INC.,10.71,4.08,10.29,10.74,10.24,1929798
VAXART INC.,0.58,17.95,0.62,0.62,0.5781,1919800
GOPRO INC.,1.2,11.64,1.23,1.24,1.17,1918993
